"departamento","inviablePerc","altoPerc","medioPerc","bajoPerc","sinRiesgoPerc","inviableFreq","altoFreq","medioFreq","bajoFreq","sinRiesgoFreq"
"Antioquia",1.6,1.6,4.1,10.6,82.1,2,2,5,13,101
"Arauca",0,0,0,14.3,85.7,0,0,0,1,6
"San Andrés y Providencia",0,50,0,0,50,0,1,0,0,1
"Atlántico",0,13,21.7,8.7,56.5,0,3,5,2,13
"Bogotá, D.C.",0,0,0,100,0,0,0,0,1,0
"Bolívar",6.7,51.1,33.3,2.2,6.7,3,23,15,1,3
"Boyacá",0,39,38.2,14.6,8.1,0,48,47,18,10
"Caldas",0,88.9,11.1,0,0,0,24,3,0,0
"Caquetá",7.1,14.3,14.3,21.4,42.9,1,2,2,3,6
"Casanare",0,31.6,26.3,26.3,15.8,0,6,5,5,3
"Cauca",7.5,7.5,15,30,40,3,3,6,12,16
"Cesar",4,32,12,20,32,1,8,3,5,8
"Chocó",0,0,100,0,0,0,0,1,0,0
"Córdoba",0,25,20.8,29.2,25,0,6,5,7,6
"Cundinamarca",0,1.7,21.6,31,45.7,0,2,25,36,53
"Guainía",0,50,50,0,0,0,1,1,0,0
"Huila",0,89.2,10.8,0,0,0,33,4,0,0
"La Guajira",6.7,13.3,26.7,33.3,20,1,2,4,5,3
"Magdalena",6.7,46.7,33.3,0,13.3,2,14,10,0,4
"Meta",3.6,35.7,50,7.1,3.6,1,10,14,2,1
"Nariño",3.1,82.8,9.4,4.7,0,2,53,6,3,0
"Norte de Santander",0,15,62.5,20,2.5,0,6,25,8,1
"Putumayo",0,61.5,30.8,7.7,0,0,8,4,1,0
"Quindío",0,0,0,41.7,58.3,0,0,0,5,7
"Risaralda",0,0,78.6,21.4,0,0,0,11,3,0
"Santander",0,8,34.5,27.6,29.9,0,7,30,24,26
"Sucre",0,23.1,26.9,23.1,26.9,0,6,7,6,7
"Tolima",8.3,8.3,25,33.3,25,1,1,3,4,3
"Valle del Cauca",0,26.2,45.2,23.8,4.8,0,11,19,10,2
"Vaupés",0,33.3,33.3,0,33.3,0,1,1,0,1
"Vichada",0,25,25,50,0,0,1,1,2,0
