AÑO,DEPARTAMENTO,MUNICIPO,TOTAL MUESTRAS,RESULTADO COLOR APARENTE,RESULTADO TURBIEDAD,RESULTADO PH,RESULTADO CLORO RESIDUAL LIBRE,RESULTADO ALCALINIDAD TOTAL,RESULTADO CALCIO,RESULTADO FOSFATOS,RESULTADO MANGANESO,RESULTADO MOLIBDENO,RESULTADO MAGNESIO,RESULTADO ZINC,RESULTADO DUREZA TOTAL,RESULTADO SULFATOS,RESULTADO HIERRO TOTAL,RESULTADO CLORUROS,RESULTADO NITRATOS,RESULTADO NITRITOS,RESULTADO ALUMINIO,RESULTADO FLORUROS,RESULTADO COT,RESULTADO COLIFORMES TOTALES,RESULTADO E.COLI,RESULTADO ANTIMONIO,RESULTADO ARSÉNICO,RESULTADO BARIO,RESULTADO CADMIO,RESULTADO CIANURO LIBRE Y DIASOCIABLE,RESULTADO COBRE,RESULTADO Cromo total,RESULTADO MERCURIO,RESULTADO NIQUEL,RESULTADO PLOMO,RESULTADO SELENIO,RESULTADO TRIHALOMETANOS TOTALES,RESULTADO HIDROCARBUROS AROMÁTICOS POLICICLICOS,RESULTADO GIARDIA,RESULTADO CRYPTOSPORIDIUM,RESULTADO PLAGUICIDAS TOTALES,RESULTADO ORGANOFOSFORADOS Y CARBAMATOS,RESULTADO MESÓFILOS,IRCA PROMEDIO,IRCA BASE PROMEDIO,NIVEL DE RIESGO PROMEDIO
2015,Antioquia,Abejorral,44,6.7815,0.8288888888,7.1318181818,1.0363636363,,,,,,,,,,,,,,,0.035,4,0,0,,,,,,,,,,,,,,,,,,,0.79159,0.79159,SIN RIESGO
2015,Antioquia,Abriaquí,24,5.5555555555,0.9428888888,7.375,1.6208333333,,,,,,,,,,,,,,,,,2,0,,,,,,,,,,,,,,,,,,,4.630416,4.630416,SIN RIESGO
2015,Antioquia,Alejandría,28,3.6767777777,0.2377777777,6.625,1.0214285714,,,,,,,,,,,,,,,0.035,4,0,0,,,,,,,,,,,,,,,,,,,0,0,SIN RIESGO
2015,Antioquia,Amagá,26,5.1739130434,0.8749565217,7.1273076923,0.7192307692,36.933333333299998,,,,,,,32.799999999999997,,0.147,11.223333333299999,,,0.258,0.037,1.25,0.1153846153,0,,,,,,,,,,,,,,,,,,,4.023846,4.023846,SIN RIESGO
2015,Antioquia,Amalfi,58,3.0944444444,0.39375,7.6298245614,0.9736842105,,,,,,,,,,,,,,,0.038,0.51,0.6896551724,0,,,,,0.023,,,0.0001,,,,,,,,,,,1.124827,1.124827,SIN RIESGO
2015,Antioquia,Andes,26,4.5,0.555,6.7419230769,1.3684,9.84,,,,,,,14.9333333333,,0.0863333333,5.5333333333,,,0.1975,0.01,,0.0384615384,0,,,,,0.049,,,0.0026,,,,,,,,,,,4.8,0.953846,SIN RIESGO
2015,Antioquia,Angelópolis,26,4.7777777777,0.371,7.4819230769,1.1692307692,,,,,,,,,,,,,,,0.02,1,0,0,,,,,,,,,,,,,,,,,,,0,0,SIN RIESGO
2015,Antioquia,Angostura,29,6.6118181818,1.006,6.8448275862,1.0103448275,5.6666666666,,,,,,,6.2733333333,,0.094,1.3833333333,,,0.093,,0.776,0,0,,,,,,,,,,,,,,,,,,0,0.851379,0.851379,SIN RIESGO
2015,Antioquia,Anorí,25,8.34,1.0422222222,7.388,1.448,,,,,,,,,,,,,,,,1.029,60,0,,,,,,,,,,,,,,,,,,,1.8576,1.8576,SIN RIESGO
2015,Antioquia,Anza,22,5.6,0.9271666666,7.4045454545,1.0227272727,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,0.879545,0.879545,SIN RIESGO
2015,Antioquia,Apartadó,138,3.1748518518,0.7578571428,7.6702586206,1.1455882352,119.58,,,,,,,140.7666666666,,0.03,10.67,,,,,1.68,0,0,,,,,,,,,,,,,,,,,,,0,0,SIN RIESGO
2015,Antioquia,Arboletes,26,3,1.0571428571,6.9538461538,1.3038461538,42.564999999999998,,,,,,,68.260000000000005,,0.06,54.11,,,0,0,5.07,0,0,,,,,,,,,,,,,,,,,,,0.141538,0.141538,SIN RIESGO
2015,Antioquia,Argelia,154,12.217203703699999,1.1835185185,7.2195945945,0.0106382978,,,,,,,,,,,,,,,0.035,4,152.62662337660001,32.497402597399997,,,,,,,,,,,,,,,,,,,89.174610000000001,89.174610000000001,INVIABLE SANITARIAMENTE
2015,Antioquia,Armenia,25,3.5,0.191125,7.242,1.224,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,0,0,SIN RIESGO
2015,Antioquia,Barbosa,41,5.903125,0.60125,7.1238461538,1.0589743589,18.34375,,,,,,,27.196874999999999,16.535218749999999,,28.977937499999999,,0.0068125,0.0408125,,,0.475,0,,,,,,,,,,,,,,,,,,,1.003414,1.003414,SIN RIESGO
2015,Antioquia,Bello,127,3.0076923076,0.4384615384,7.8803846153,1.0198245614,20,,,,,,,54,3.34,0.073,8.35,0.01,0.02,0.075,,,1.1181102362,0,,,,,,,,,,,,,,,,,,0,0.858897,0.858897,SIN RIESGO
2015,Antioquia,Belmira,29,9.686,0.8535,7.0862068965,1.2551724137,8.8666666666,,,,,,,9.0666666666,,0.0546666666,2.1533333333,,,0.0653333333,,1.677,0,0,,,,,,,,,,,,,,,,,,,0.266896,0.266896,SIN RIESGO
2015,Antioquia,Betania,26,10,0.3603,6.7188,0.996,,,,,,,,,,,,,,,0.01,2.64,3.0769230769,0.1923076923,,,,,,,,,,,,,,,,,,,3.528461,3.528461,SIN RIESGO
