"departamento","municipiosDepartamento","IRCA.promedio","municipioIRCAAlto","IRCAMasAlto","municipioIRCABajo","IRCAMasBajo"
"Antioquia",123,1.689285,"Argelia",89.17461,"Alejandría",0
"Arauca",7,1.887804,"Cravo Norte",8.328117,"Saravena",0.444827
"Archipiélago de San Andrés, Providencia y Santa Catalina",2,25.9640425,"Providencia",51.313333,"San Andrés",0.614752
"Atlántico",23,0.921428,"Campo De La Cruz",77.764285,"Manatí",0
"Bogotá, D.C.",1,7.350314,"Bogotá, D.C.",7.350314,"Bogotá, D.C.",7.350314
"Bolívar",45,40.970769,"Norosí",91.3975,"El Carmen De Bolívar",0
"Boyacá",123,30.474285,"Ráquira",61.516551,"Cubará",0
"Caldas",27,57.890467,"Belalcázar",70.813162,"La Dorada",14.779878
"Caquetá",14,7.6465515,"Morelia",89.047619,"Belén De Los Andaquíes",0
"Casanare",19,23.095384,"Támara",56.252857,"Maní",0
"Cauca",40,7.4379925,"Timbiquí",96.081739,"El Tambo",0
"Cesar",25,13.480769,"Tamalameque",100,"San Diego",0
"Chocó",1,31.743333,"Cértegui",31.743333,"Cértegui",31.743333
"Córdoba",24,11.6712495,"Canalete",55.927142,"Montería",0.030348
"Cundinamarca",116,5.6860415,"San Juan De Río Seco",45.8675,"Fúquene",0
"Guainía",2,35.442057,"Barranco Minas",54.623333,"Inírida",16.260781
"Huila",37,47.989464,"La Argentina",62.308,"Palermo",22.51
"La Guajira",15,13.792857,"Dibulla",85.495652,"Riohacha",2.470649
"Magdalena",30,36.852258,"Sitionuevo",94.609183,"Sabanas De San Angel",2.818
"Meta",28,27.225,"El Castillo",84.036538,"Restrepo",4.791388
"Nariño",64,52.020481,"Olaya Herrera",83.096969,"Sandoná",6.440833
"Norte de Santander",40,25.660833,"Teorama",41.636666,"Cúcuta",1.604516
"Putumayo",13,53.362307,"Orito",78.65,"Leguízamo",9.791111
"Quindío",12,4.7770515,"Salento",12.002258,"Armenia",0.355496
"Risaralda",14,14.5505565,"Pueblo Rico",30.514821,"Pereira",6.920689
"Santander",87,12.5875,"Santa Helena Del Opón",65.76125,"Charalá",0
"Sucre",26,12.690793,"Guaranda",67.628928,"Coloso",0
"Tolima",12,13.0662845,"Villarrica",87.045714,"Casabianca",0
"Valle del Cauca",42,22.7740265,"Vijes",70.704137,"Cali",3.103437
"Vaupés",3,14.927352,"Taraira",52.9425,"Caruru",1.48
"Vichada",4,12.2531485,"Cumaribo",55.95102,"Santa Rosalía",9.008888
