"Departamento","AnnoFirmaDelContrato","NombreFamilia","CuantiaContrato","CuantiaProceso","CuantiaAdiciones"
"Amazonas",2016,"Combustibles",574154637,574154637,0
"Amazonas",2017,"Servicios de mantenimiento y reparaciones de construcciones e instalaciones",1195673592,2391347184,0
"Amazonas",2016,"Servicios de mantenimiento o reparaciones de transportes",628434570,628434571,0
"Amazonas",2015,"Componentes y sistemas de transporte",79324000,79324000,0
"Amazonas",2016,"Servicios integrales de salud",426000000,2130000000,0
"Amazonas",2015,"Servicios integrales de salud",372320000,1206960000,85061333
"Amazonas",2016,"Muebles comerciales e industriales",168063786,169761400,0
"Amazonas",2015,"Suministros de oficina",157396680,158146680,0
"Amazonas",2015,"Práctica médica",70000000,70000000,0
"Amazonas",2016,"Servicios de mantenimiento y reparaciones de construcciones e instalaciones",1521385811,1536889771,0
"Amazonas",2015,"Combustibles",209353937,209353937,0
"Amazonas",2015,"Servicios de mantenimiento y reparaciones de construcciones e instalaciones",443525883,492806537,0
"Antioquia",2016,"Servicios de mantenimiento y construcción de comercio especializado",378266876,413672318,0
"Antioquia",2016,"Productos de resucitación, anestesia y respiratorio",228540000,250000000,0
"Antioquia",2016,"Combustibles",1910005859,1910005859,0
"Antioquia",2016,"Servicios comunitarios y sociales",117900000,121800000,0
"Antioquia",2016,"Servicios integrales de salud",8633362893,10606953912,0
"Antioquia",2016,"Servicios de mantenimiento y reparaciones de construcciones e instalaciones",6870587413,6908269000,0
"Antioquia",2016,"Práctica médica",1585068636,8147297120,0
"Antioquia",2016,"Servicios de mantenimiento o reparaciones de transportes",6680287506,12577911377,0
"Antioquia",2017,"Servicios de mantenimiento y reparaciones de construcciones e instalaciones",2262274168,2293070254,0
"Antioquia",2016,"Muebles de alojamiento",768069076,1289254000,0
"Antioquia",2017,"Aparatos electrodomésticos",200000000,200000000,0
"Antioquia",2016,"Aparatos electrodomésticos",99980800,100000000,0
"Antioquia",2015,"Implantes ortopédicos quirúrgicos",126800000,126800000,0
"Antioquia",2017,"Servicios integrales de salud",80000000,80000000,0
"Antioquia",2017,"Elementos y gases",275515457,275515457,0
"Antioquia",2016,"Suministros de oficina",91690367,97111799,0
"Antioquia",2017,"Bebidas",434912586,480996733,0
"Antioquia",2016,"Bebidas",122171997,125980214,0
"Antioquia",2015,"Muebles de alojamiento",178186128,185725668,0
"Antioquia",2016,"Vehículos de motor",95054591,95054591,0
"Antioquia",2015,"Servicios de mantenimiento y reparaciones de construcciones e instalaciones",350674832,367336379,12181581
"Antioquia",2017,"Equipos y suministros veterinarios",619497957,619497957,0
"Antioquia",2016,"Comida de animales",1004081936,1004081936,0
"Antioquia",2016,"Equipos y suministros dentales",73440000,73440000,0
"Antioquia",2017,"Servicios de aseo y limpieza",201499286,201499286,0
"Antioquia",2015,"Ropa de cama, mantelerías, paños de cocina y toallas",185235660,716779380,43959160
"Antioquia",2016,"Calefacción, ventilación y circulación del aire",79905288,80373200,0
"Antioquia",2017,"Combustibles",1519177729,23221672128,0
"Antioquia",2016,"Servicios de aseo y limpieza",263000000,263000000,0
"Antioquia",2016,"Comercialización y distribución",270748454,270748454,0
"Antioquia",2017,"Servicios de construcción pesada",806237163,844648146,0
"Antioquia",2015,"Alimentos preparados y conservados",108000000,108000000,0
"Antioquia",2016,"Restaurantes y catering (servicios de comidas y bebidas)",1293260557,1298396557,0
"Antioquia",2016,"Seguridad, vigilancia y detección",195222390,200000000,0
"Antioquia",2016,"Suministros de aseo y limpieza",163300000,163300000,0
"Antioquia",2015,"Suministros de aseo y limpieza",124466043,124369890,0
"Antioquia",2015,"Seguridad y protección personal",327978922,656584994,0
"Antioquia",2017,"Práctica médica",150000000,150000000,0
