ano,departamento,municipio,numero_de_muestras,promedio_irca
2015,Bolívar,Norosí,16,91.43
2015,Nariño,Sapuyes,55,24.81
2015,Norte de Santander,Chinácota,25,23.42
2015,Norte de Santander,Bucarasica,9,29.39
2015,Córdoba,Momil,6,3.35
2015,Boyacá,Guayatá,26,45.69
2015,Cundinamarca,Ubaque,20,24.29
2015,Nariño,Yacuanquer,61,44.76
2015,Cauca,Puracé,24,15.37
2015,Boyacá,Boyacá,30,39.28
2015,Santander,Pinchote,10,5.19
2015,Casanare,Aguazul,61,2.02
2015,Norte de Santander,El Zulia,28,19.77
2015,Cauca,Corinto,35,3.53
2015,Santander,San Benito,5,27.14
2015,Antioquia,Yondó,24,2.2
2015,Antioquia,Armenia,25,0
2015,Cundinamarca,Facatativá,85,2.01
2015,Boyacá,Villa De Leyva,68,15.74
2015,Meta,Puerto Gaitán,26,23.04
2015,Putumayo,Mocoa,53,65.7
2015,Meta,Barranca De Upía,18,32.9
2015,Cundinamarca,Tibirita,12,15.61
2015,Huila,Garzón,193,41.24
2015,Nariño,El Tambo,128,53.84
2015,Boyacá,Corrales,19,1.73
2015,Nariño,Buesaco,123,40.04
2015,Nariño,Nariño,20,23.38
2015,Cundinamarca,Quetame,11,3.19
2015,Caldas,Salamina,101,56.65
2015,Casanare,San Luis De Palenque,13,23.1
2015,Nariño,Cuaspud,21,37.2
2015,Antioquia,Caldas,35,0
2015,Boyacá,Chiscas,23,36.17
2015,Huila,Isnos,62,51.41
2015,Nariño,Pasto,389,29.36
2015,Sucre,Santiago De Tolú,72,22.91
2015,Cesar,Curumaní,42,0.94
2015,Santander,Santa Bárbara,11,14.6
2015,Antioquia,Envigado,24,0
2015,Huila,Tello,57,51.54
2015,Bolívar,San Juan Nepomuceno,7,20.05
2015,Antioquia,Gómez Plata,29,0.67
2015,Magdalena,San Sebastián De Buenavista,14,34.99
2015,Valle del Cauca,Roldanillo,75,10.55
2015,Bolívar,María La Baja,10,55
2015,Córdoba,Cotorra,6,26.88
2015,Valle del Cauca,Obando,44,26.67
2015,Atlántico,Manatí,16,0
2015,Santander,Jordán,8,22.93
2015,Antioquia,Cocorná,27,6.3
2015,Sucre,Ovejas,47,8.59
2015,Cundinamarca,Pacho,37,0.73
2015,Cauca,Toribio,33,7.68
2015,Santander,Betulia,10,8.05
2015,Sucre,Corozal,50,0
2015,Boyacá,Betéitiva,23,55.34
2015,Boyacá,Saboyá,23,21.01
2015,Sucre,Majagual,45,14.56
2015,Santander,Contratación,11,23.41
2015,Boyacá,Cómbita,39,5.77
2015,Nariño,Ospina,51,51.49
2015,Magdalena,Cerro San Antonio,13,14.15
2015,Nariño,Leiva,61,62.87
2015,Cundinamarca,El Colegio,36,2.78
2015,Magdalena,Puebloviejo,20,34.95
2015,Quindio,Calarca,61,2.57
2015,Casanare,Recetor,15,55.42
2015,Boyacá,Chivatá,22,2.47
2015,Antioquia,Don Matías,27,0.65
2015,Meta,Guamal,20,25.7
2015,Guainía,Barranco Minas,7,29.46
2015,Norte de Santander,Abrego,28,19.81
2015,Huila,La Plata,172,51.19
2015,Nariño,Mallama,66,52.55
2015,Antioquia,Valparaíso,27,0
2015,Valle del Cauca,Zarzal,67,2.55
2015,Risaralda,Belén De Umbría,43,15.19
2015,Norte de Santander,Villa Del Rosario,118,7.8
2015,Antioquia,Segovia,51,4.82
2015,Tolima,Honda,1,0
2015,Santander,Florián,7,40.64
2015,Córdoba,San Carlos,6,3.05
2015,Antioquia,Yolombó,27,1.91
2015,Risaralda,Balboa,60,14.52
2015,Antioquia,Maceo,23,8.72
2015,Tolima,Rovira,18,19.28
2015,Cauca,Caldono,29,15.17
2015,Antioquia,Santo Domingo,28,2.21
2015,Atlántico,Galapa,30,0.25
2015,Caldas,Belalcázar,117,70.81
2015,Valle del Cauca,Ulloa,23,14.86
2015,Antioquia,Apartadó,138,0
2015,Tolima,Falan,7,10.66
2015,Huila,Gigante,64,53.46
2015,Nariño,San Andres De Tumaco,58,51.3
2015,Santander,Mogotes,11,4.65
2015,Cundinamarca,Venecia,13,8.15
2015,Meta,Lejanías,16,70.59
2015,Cauca,Inzá,39,12.57
2015,Cundinamarca,Sutatausa,12,4.46
2015,Huila,Timaná,56,47.69
2015,Cundinamarca,Funza,64,1.13
2015,Cundinamarca,Granada,14,6.17
2015,Magdalena,San Zenón,17,68.52
2015,Antioquia,San Andrés De Cuerquía,26,1.63
2015,Santander,Barbosa,9,30.99
2015,Antioquia,Sopetrán,20,0
2015,Boyacá,Ventaquemada,30,27.3
2015,Boyacá,Tununguá,14,36.06
2015,Valle del Cauca,Ansermanuevo,44,25.81
2015,Cundinamarca,San Juan De Río Seco,20,45.87
2015,Meta,Fuente De Oro,19,38.21
2015,Antioquia,Sonson,26,2.99
2015,Antioquia,Barbosa,41,1.42
2015,Bolívar,San Fernando,12,53.43
2015,Córdoba,Puerto Escondido,7,38.24
2015,Nariño,Funes,51,50.79
2015,Santander,Páramo,5,6.88
2015,Vichada,Cumaribo,49,55.95
2015,Bolívar,Achí,11,24.76
2015,Magdalena,Zona Bananera,50,63.36
2015,Nariño,Santa Bárbara,10,14.04
2015,Cauca,Balboa,23,7.45
2015,Huila,Rivera,63,35.65
2015,Córdoba,Purísima,6,3.05
2015,Bolívar,Morales,16,59.93
2015,Cesar,Valledupar,219,0.65
2015,Cundinamarca,El Rosal,22,1.75
2015,Meta,Uribe,17,15.27
2015,Bolívar,Hatillo De Loba,17,65.25
2015,Santander,Encino,7,17.51
2015,Boyacá,Tópaga,19,26.53
2015,Meta,San Juan De Arama,27,42.95
2015,Boyacá,Tibasosa,33,17.21
2015,Magdalena,El Banco,57,2.97
2015,Antioquia,Zaragoza,6,22.51
2015,Cauca,Almaguer,26,7.55
2015,Antioquia,Yalí,26,0
2015,Norte de Santander,Lourdes,18,26.78
2015,Caldas,Riosucio,162,46.38
2015,Cundinamarca,Cogua,41,17.89
2015,Cauca,San Sebastián,28,85.43
2015,Arauca,Arauca,63,0.31
2015,Santander,Chipatá,6,0.2
2015,Santander,Simacota,11,3.12
2015,Cundinamarca,Villa De San Diego De Ubate,64,0.33
2015,Bolívar,Margarita,11,69.43
2015,Cundinamarca,Carmen De Carupa,6,1.22
